table_index,name,c_entry,source_file,offset,sexptype,eval,arity,kernel,evaluation_policy,argument_policy,coercion_policy,vector_policy,index_policy,attribute_policy,dispatch_policy,effect_policy,replacement_policy,attribute_operation,matrix_operation
53,printDeferredWarnings,do_printDeferredWarnings,src/main/errors.c,0,BUILTINSXP,111,0,runtime,eager,fixed,identity,scalar,none,drop,none,pure,none,none,none
54,interruptsSuspended,do_interruptsSuspended,src/main/errors.c,0,BUILTINSXP,11,-1,runtime,eager,variadic,identity,scalar,none,drop,none,pure,none,none,none
55,as.function.default,do_asfunction,src/main/coerce.c,0,BUILTINSXP,11,2,runtime,eager,fixed,identity,scalar,none,drop,none,pure,none,none,none
56,debug,do_debug,src/main/debug.c,0,BUILTINSXP,111,3,runtime,eager,fixed,identity,scalar,none,drop,none,pure,none,none,none
57,undebug,do_debug,src/main/debug.c,1,BUILTINSXP,111,1,runtime,eager,fixed,identity,scalar,none,drop,none,pure,none,none,none
58,isdebugged,do_debug,src/main/debug.c,2,BUILTINSXP,11,1,runtime,eager,fixed,identity,scalar,none,drop,none,pure,none,none,none
59,debugonce,do_debug,src/main/debug.c,3,BUILTINSXP,111,3,runtime,eager,fixed,identity,scalar,none,drop,none,pure,none,none,none
60,Recall,do_recall,src/main/eval.c,0,SPECIALSXP,210,-1,language,special,variadic,identity,scalar,none,drop,none,control-or-environment,none,none,none
61,delayedAssign,do_delayed,src/main/builtin.c,0,BUILTINSXP,111,4,runtime,eager,fixed,identity,scalar,none,drop,none,pure,none,none,none
62,makeLazy,do_makelazy,src/main/builtin.c,0,BUILTINSXP,111,5,runtime,eager,fixed,identity,scalar,none,drop,none,pure,none,none,none
63,identical,do_identical,src/main/identical.c,0,BUILTINSXP,11,8,runtime,eager,fixed,identity,scalar,none,drop,none,pure,none,none,none
64,C_tryCatchHelper,do_tryCatchHelper,src/main/errors.c,0,BUILTINSXP,11,-1,runtime,eager,variadic,identity,scalar,none,drop,none,pure,none,none,none
65,getNamespaceValue,do_getNSValue,src/main/envir.c,0,BUILTINSXP,211,3,environment,eager,fixed,identity,scalar,none,drop,methods,environment,none,none,none
66,+,do_arith,src/main/arithmetic.c,PLUSOP,BUILTINSXP,1,-1,arithmetic,eager,variadic,common-numeric,elementwise-recycle,none,binary,ops-group,pure,none,none,none
67,-,do_arith,src/main/arithmetic.c,MINUSOP,BUILTINSXP,1,-1,arithmetic,eager,variadic,common-numeric,elementwise-recycle,none,binary,ops-group,pure,none,none,none
68,*,do_arith,src/main/arithmetic.c,TIMESOP,BUILTINSXP,1,2,arithmetic,eager,fixed,common-numeric,elementwise-recycle,none,binary,ops-group,pure,none,none,none
69,/,do_arith,src/main/arithmetic.c,DIVOP,BUILTINSXP,1,2,arithmetic,eager,fixed,common-numeric,elementwise-recycle,none,binary,ops-group,pure,none,none,none
70,^,do_arith,src/main/arithmetic.c,POWOP,BUILTINSXP,1,2,arithmetic,eager,fixed,common-numeric,elementwise-recycle,none,binary,ops-group,pure,none,none,none
71,%%,do_arith,src/main/arithmetic.c,MODOP,BUILTINSXP,1,2,arithmetic,eager,fixed,common-numeric,elementwise-recycle,none,binary,ops-group,pure,none,none,none
72,%/%,do_arith,src/main/arithmetic.c,IDIVOP,BUILTINSXP,1,2,arithmetic,eager,fixed,common-numeric,elementwise-recycle,none,binary,ops-group,pure,none,none,none
73,%*%,do_matprod,src/main/array.c,0,BUILTINSXP,1,2,matrix,eager,fixed,numeric,column-major,dimensions,dimensions,none,pure,none,none,product
74,==,do_relop,src/main/relop.c,EQOP,BUILTINSXP,1,2,relational,eager,fixed,common-comparable,elementwise-recycle,none,binary,ops-group,pure,none,none,none
